nome,lon,lat,ra
ESC ALENCAR,-48.11324598145635,-15.846073802829554,CEILANDIA
ESC AQUARELA NOVO HORIZONTE,-48.12155458716451,-15.852389425337552,CEILANDIA
ESC ASA DELTA,-48.10056760490927,-15.812547221014341,CEILANDIA
ESC CRIANDO E RECRIANDO,-48.12999142580767,-15.795892743566919,CEILANDIA
ESC DE EDUC BASICA E PROFISSIONAL FUND BRADESCO,-48.118688144074554,-15.826639969371438,CEILANDIA
ESC DE EDUC INF CINDERELA,-48.105662899900715,-15.824938978911261,CEILANDIA
ESC DANNY,-48.11827449379848,-15.841420774484558,CEILANDIA
ESC DE EDUC INF E ENS FUND TIA LUCINHA,-48.12307070859566,-15.808405612670557,CEILANDIA
ESC DIVINO MESTRE,-48.13948711716432,-15.807493349423979,CEILANDIA
ESC DO ENS BASICO PINGUE PONGUE,-48.14074352324648,-15.804706195273784,CEILANDIA
ESC E BRINQUEDOTECA INCLUIR,-48.12260539817272,-15.815105932655722,CEILANDIA
ESC E RECREACAO GENTE QUE CRESCE,-48.14902244842709,-15.80783293576444,CEILANDIA
ESC FLORA ENCANTADA,-48.14007589554325,-15.78555527916851,CEILANDIA
ESC INF RAIO DE SOL,-48.1216466673167,-15.787793798957116,CEILANDIA
ESC MAGISTRAL,-48.1300702252998,-15.809104393369896,CEILANDIA
INEB,-48.06571856783543,-16.012732943798582,GAMA
ESC MUNDO INOCENTE,-48.13813947161239,-15.783218513591336,CEILANDIA
ESC PARAISO ENCANTADO,-48.13408939459011,-15.805828041956069,CEILANDIA
ESC PEQUENO ENCANTO,-48.137305116860766,-15.796728605139897,CEILANDIA
ESCOLINHA CASA DA ALEGRIA,-48.12976309814823,-15.816704661316054,CEILANDIA
ESCOLINHA DO LELEU,-48.11828297437431,-15.820031132380201,CEILANDIA
IESMA,-48.13646535127122,-15.802533442090517,CEILANDIA
INSEF,-48.127741396930084,-15.791205726387776,CEILANDIA
INST SOUSA ARANTES,-48.11776553313285,-15.849692626822414,CEILANDIA
